Dataset,Mean,Variance,Skewness,Kurtosis,Peak-to-Peak,Energy,Entropy,Autocorrelation (Lag-1),Stationarity (ADF Test),Trend Strength,Seasonality Strength,Cluster
m4_yearly_dataset.tsf,8.344410582147463,16.410410470270797,2.697690452965222,43.49736470254631,11.972891384545377,28.78053563494272,10.553756562222118,0.5070960551552229,1.0,0.3227360424052805,6.686511494180536e-05,0
nn5_weekly_dataset.tsf,4.867625823384603,7.52742028494799,0.8395486499554496,2.027544301849117,5.963824275783712,19.2446604880646,9.097106268328131,0.8435038862678143,1.0,0.8091525873454443,0.0015655892108651,0
pedestrian_counts_dataset.tsf,6.40128502878983,13.452605146433845,2.218493565069848,5.83761741823338,9.181632207839439,25.394781252288308,7.188197222687362,0.1865388815302807,1.0,0.2564759402865143,0.000131895660179,0
pump_sensor.csv,7.7903216914664615,19.547639273278403,9.170181549510067,88.0688715148921,12.30266382268875,31.08216852425187,9.78455734735168,-0.0177290593368719,1.0,0.0729168815521081,0.0104270841451593,0
saugeenday_dataset.tsf,3.4361102120791487,7.336179796886169,4.54363820574221,32.33636254503471,6.459434860567543,17.873723716306095,6.007025089773416,0.9377959239061824,1.0,0.808044973059455,0.0011895685147238,0
SnP5yr.csv,11.986555797256472,28.479755843374548,17.132520444330847,501.6103748165334,18.47604881957619,40.03489316152263,9.842443118700189,0.806280790230771,1.0,0.8127201023191941,0.0001192332611508,0
solar_10_minutes_dataset.tsf,1.9952293199092375,4.724241705366017,2.103454079675017,5.1054706413205935,4.362461479179042,16.536987596626894,3.598159940827792,-0.3615194490983388,1.0,0.2539004188139051,0.0017740425500469,0
solar_4_seconds_dataset.tsf,3.515416688785619,7.538910052827796,0.8466113848635294,-1.0011316350596604,4.7664383335842135,19.51350975878393,3.861786776532007,0.9832472884197264,1.0,0.9719116628976288,5.757408572482081e-05,0
solar_weekly_dataset.tsf,8.77790364214745,16.039538180707712,2.185628712368706,7.498256990088583,10.24770649154069,26.586023510490786,8.80063522673458,0.8838336795980571,1.0,0.8826249898034636,0.0255173072627872,1
tourism_monthly_dataset.tsf,9.21173986642866,21.10444264008785,13.001156814722648,272.05569755027733,14.126537505948411,32.76563073059967,8.517825385447377,0.963433369891598,1.0,0.9034449853936718,0.0018390423869872,0
tourism_quarterly_dataset.tsf,10.774955351296454,25.930262957425356,25.894255185520084,778.0678924416037,16.60173809725041,36.580722219435906,9.157350772228702,0.9770415512893352,1.0,0.9588087147500054,0.0006078554068206,0
tourism_yearly_dataset.tsf,12.402509791252731,28.97331358673117,19.190749208732463,449.8399800292351,17.953422142643696,38.357810917106626,9.10651913250244,0.9105097846976316,1.0,0.8304567363932965,0.0010059175828056,0
traffic_hourly_dataset.tsf,0.055168449844731994,0.0029113612960952047,2.5931841738244783,10.283658468881018,0.49597591051565465,6.421825565595406,7.252315161146321,0.0204593984936366,1.0,0.1168637829379297,5.3291009365019626e-05,0
traffic_weekly_dataset.tsf,2.3578722306855187,2.707287383896624,1.1020893667023326,2.7612717899361554,3.7362948642180758,16.04335244352424,10.714744736350928,0.9357071756688602,1.0,0.9173286995292508,0.0062390381498651,0
us_births_dataset.tsf,9.174732676519364,14.055135213269937,0.023176769762238,-0.6666393924658576,8.728587995695898,27.25885481896313,8.007533397728423,0.6357371322431815,1.0,0.3504655268225064,9.50891205869775e-05,0
wind_4_seconds_dataset.tsf,3.725686245688494,7.155883092263328,0.6212372169186386,-0.8514285528610857,4.8782461060505105,19.50577747682463,6.851753827104227,0.9754244617304466,1.0,0.9547184211865574,0.0003983375815712,0
